"Date","Time","Open","High","Low","Close","Total Ticks"
01-01-2009,22:00:00,0.70616,0.71081,0.692,0.70932,13763
01-04-2009,22:00:00,0.70932,0.72079,0.7063,0.71761,33597
01-05-2009,22:00:00,0.71761,0.727,0.70341,0.72336,37484
01-06-2009,22:00:00,0.72336,0.72701,0.70941,0.71273,34979
01-07-2009,22:00:00,0.71273,0.7144,0.69578,0.71236,38738
01-08-2009,22:00:00,0.71236,0.71246,0.70126,0.7026,33622
01-11-2009,22:00:00,0.7026,0.7026,0.67881,0.68184,34128
01-12-2009,22:00:00,0.68184,0.68239,0.6577,0.6648,44800
01-13-2009,22:00:00,0.6648,0.68122,0.65822,0.66147,41480
01-14-2009,22:00:00,0.66147,0.6703,0.65378,0.66307,52699
01-15-2009,22:00:00,0.66307,0.67974,0.66288,0.6729,39756
01-18-2009,22:00:00,0.6729,0.68433,0.66683,0.66713,27635
01-19-2009,22:00:00,0.66713,0.66852,0.64718,0.65096,41096
01-20-2009,22:00:00,0.65096,0.66606,0.64569,0.66225,45238
01-21-2009,22:00:00,0.66225,0.66474,0.64924,0.65555,38859
01-22-2009,22:00:00,0.65555,0.65886,0.64177,0.65667,42471
01-25-2009,22:00:00,0.65667,0.66456,0.64952,0.65981,32452
01-26-2009,22:00:00,0.65981,0.67203,0.65732,0.66151,36152
01-27-2009,22:00:00,0.66151,0.67335,0.6595,0.6662,41344
01-28-2009,22:00:00,0.6662,0.66828,0.65177,0.65232,36432
01-29-2009,22:00:00,0.65232,0.65273,0.63468,0.63556,38118
02-01-2009,22:00:00,0.63556,0.63832,0.62496,0.63181,32507
02-02-2009,22:00:00,0.63181,0.65474,0.62961,0.65121,39059
02-03-2009,22:00:00,0.65121,0.65394,0.63548,0.64362,44295
02-04-2009,22:00:00,0.64362,0.65818,0.64036,0.65261,42522
02-05-2009,22:00:00,0.65261,0.68041,0.64759,0.67686,41590
02-08-2009,22:00:00,0.67686,0.68508,0.6629,0.67883,39377
02-09-2009,22:00:00,0.67883,0.68,0.64858,0.655,55605
02-10-2009,22:00:00,0.655,0.66051,0.64824,0.65653,42943
02-11-2009,22:00:00,0.65653,0.6617,0.6432,0.6526,48421
02-12-2009,22:00:00,0.6526,0.6643,0.65232,0.65821,42619
02-15-2009,22:00:00,0.65821,0.65821,0.64754,0.65053,23138
02-16-2009,22:00:00,0.65053,0.65328,0.63437,0.63506,41861
02-17-2009,22:00:00,0.63506,0.64342,0.63344,0.6373,42299
02-18-2009,22:00:00,0.6373,0.65232,0.63625,0.64385,37841
02-19-2009,22:00:00,0.64385,0.64996,0.63548,0.64645,40519
02-22-2009,22:00:00,0.64645,0.65491,0.64045,0.64186,36353
02-23-2009,22:00:00,0.64186,0.65272,0.63908,0.65136,38440
02-24-2009,22:00:00,0.65136,0.65556,0.64553,0.64711,41179
02-25-2009,22:00:00,0.64711,0.65538,0.64618,0.64779,34150
02-26-2009,22:00:00,0.64779,0.64828,0.63395,0.63954,46988
03-01-2009,22:00:00,0.63954,0.64028,0.62913,0.6302,39992
03-02-2009,22:00:00,0.6302,0.64643,0.62873,0.63791,41795
03-03-2009,22:00:00,0.63791,0.65277,0.62862,0.64973,41220
03-04-2009,22:00:00,0.64973,0.64973,0.63575,0.6385,38022
03-05-2009,22:00:00,0.6385,0.64731,0.637,0.64063,40371
03-08-2009,21:00:00,0.64063,0.64507,0.63082,0.6319,36319
03-09-2009,21:00:00,0.6319,0.64894,0.63092,0.64602,43606
03-10-2009,21:00:00,0.64602,0.65263,0.64008,0.65241,40720
03-11-2009,21:00:00,0.65241,0.65784,0.64138,0.65503,45015
03-12-2009,21:00:00,0.65503,0.6605,0.65126,0.65749,39260
03-15-2009,21:00:00,0.65749,0.66383,0.65297,0.65927,32531
03-16-2009,21:00:00,0.65927,0.66253,0.65676,0.66203,33215
03-17-2009,21:00:00,0.66203,0.68078,0.65664,0.67701,36074
03-18-2009,21:00:00,0.67701,0.69443,0.67244,0.68524,53864
03-19-2009,21:00:00,0.68524,0.69327,0.68473,0.686,40604
03-22-2009,21:00:00,0.686,0.70599,0.686,0.7054,37672
03-23-2009,21:00:00,0.7054,0.70953,0.69349,0.69574,44146
03-24-2009,21:00:00,0.69574,0.7053,0.69052,0.69801,43448
03-25-2009,21:00:00,0.69801,0.70414,0.69639,0.70179,36516
03-26-2009,21:00:00,0.70179,0.70324,0.68672,0.69272,34488
03-29-2009,21:00:00,0.69272,0.69286,0.67706,0.68166,36903
03-30-2009,21:00:00,0.68166,0.69709,0.67884,0.69153,37034
03-31-2009,21:00:00,0.69153,0.69983,0.68575,0.69955,39584
04-01-2009,21:00:00,0.69955,0.71998,0.69764,0.7154,47846
04-02-2009,21:00:00,0.7154,0.72302,0.70588,0.71572,42141
04-05-2009,21:00:00,0.71572,0.72105,0.70794,0.71414,37195
04-06-2009,21:00:00,0.71414,0.71702,0.70521,0.71117,44692
04-07-2009,21:00:00,0.71117,0.71292,0.70345,0.71042,41990
04-08-2009,21:00:00,0.71042,0.72037,0.70569,0.71953,36982
04-09-2009,21:00:00,0.71953,0.72129,0.71749,0.71981,5097
04-12-2009,21:00:00,0.71981,0.73293,0.71876,0.73209,18434
04-13-2009,21:00:00,0.73209,0.73284,0.72303,0.72401,38095
04-14-2009,21:00:00,0.72401,0.72955,0.71479,0.72891,44956
04-15-2009,21:00:00,0.72891,0.73174,0.71388,0.72093,42143
04-16-2009,21:00:00,0.72093,0.72297,0.71686,0.72107,39649
04-19-2009,21:00:00,0.72107,0.72536,0.69548,0.69688,47066
04-20-2009,21:00:00,0.69688,0.71311,0.69677,0.71176,51308
04-21-2009,21:00:00,0.71176,0.71221,0.70036,0.70569,57320
04-22-2009,21:00:00,0.70569,0.71574,0.7031,0.71501,53198
04-23-2009,21:00:00,0.71501,0.72405,0.71086,0.72263,40691
