"Date","Time","Open","High","Low","Close","Total Ticks"
01-01-2009,22:00:00,1.2191,1.22792,1.20706,1.2158,13494
01-04-2009,22:00:00,1.2158,1.2228,1.1868,1.18942,25414
01-05-2009,22:00:00,1.18942,1.20035,1.17642,1.18442,30518
01-06-2009,22:00:00,1.18442,1.20025,1.17758,1.1945,26279
01-07-2009,22:00:00,1.1945,1.2075,1.17738,1.18003,27329
01-08-2009,22:00:00,1.18003,1.19718,1.17963,1.1909,24434
01-11-2009,22:00:00,1.1909,1.22026,1.1882,1.21885,25075
01-12-2009,22:00:00,1.21885,1.23473,1.21563,1.2247,29504
01-13-2009,22:00:00,1.2247,1.24965,1.21079,1.24955,31905
01-14-2009,22:00:00,1.24955,1.26773,1.24166,1.25312,33756
01-15-2009,22:00:00,1.25312,1.25798,1.23182,1.24835,30053
01-18-2009,22:00:00,1.24835,1.25744,1.23785,1.25415,16054
01-19-2009,22:00:00,1.25415,1.26997,1.25338,1.2674,30949
01-20-2009,22:00:00,1.2674,1.27678,1.25486,1.25565,41610
01-21-2009,22:00:00,1.25565,1.27421,1.25187,1.2555,40793
01-22-2009,22:00:00,1.2555,1.26525,1.2269,1.23119,37040
01-25-2009,22:00:00,1.23119,1.23907,1.21431,1.22305,39138
01-26-2009,22:00:00,1.22305,1.23343,1.21543,1.2305,39932
01-27-2009,22:00:00,1.2305,1.23124,1.2025,1.21135,41824
01-28-2009,22:00:00,1.21135,1.22712,1.20954,1.22707,37380
01-29-2009,22:00:00,1.22707,1.2426,1.22175,1.22676,39360
02-01-2009,22:00:00,1.22676,1.24686,1.22628,1.24527,26194
02-02-2009,22:00:00,1.24527,1.25244,1.22956,1.22992,30484
02-03-2009,22:00:00,1.22992,1.24382,1.2226,1.23257,33038
02-04-2009,22:00:00,1.23257,1.23834,1.22286,1.23258,36735
02-05-2009,22:00:00,1.23258,1.25425,1.22331,1.2254,40032
02-08-2009,22:00:00,1.2254,1.23006,1.21332,1.2177,35433
02-09-2009,22:00:00,1.2177,1.24952,1.21515,1.24407,44753
02-10-2009,22:00:00,1.24407,1.25337,1.23888,1.23888,35307
02-11-2009,22:00:00,1.23888,1.25498,1.23888,1.24407,43258
02-12-2009,22:00:00,1.24407,1.24663,1.22819,1.23502,33940
02-15-2009,22:00:00,1.23502,1.24892,1.23502,1.24303,11298
02-16-2009,22:00:00,1.24303,1.26741,1.2417,1.26573,32824
02-17-2009,22:00:00,1.26573,1.26598,1.25314,1.26132,31760
02-18-2009,22:00:00,1.26132,1.26227,1.24676,1.25832,31245
02-19-2009,22:00:00,1.25832,1.2652,1.2421,1.24958,41311
02-22-2009,22:00:00,1.24958,1.25583,1.23533,1.25053,29541
02-23-2009,22:00:00,1.25053,1.25417,1.2396,1.24269,34756
02-24-2009,22:00:00,1.24269,1.26134,1.24019,1.25753,40847
02-25-2009,22:00:00,1.25753,1.25805,1.23967,1.25403,34370
02-26-2009,22:00:00,1.25403,1.27309,1.252,1.27239,44282
03-01-2009,22:00:00,1.27239,1.29403,1.27239,1.29403,32249
03-02-2009,22:00:00,1.29403,1.29762,1.28075,1.29343,39712
03-03-2009,22:00:00,1.29343,1.297,1.27147,1.27343,31849
03-04-2009,22:00:00,1.27343,1.29165,1.27269,1.29165,29194
03-05-2009,22:00:00,1.29165,1.29165,1.27664,1.28686,32959
03-08-2009,21:00:00,1.28686,1.30653,1.28199,1.30165,27768
03-09-2009,21:00:00,1.30165,1.30189,1.27256,1.27943,31552
03-10-2009,21:00:00,1.27943,1.29048,1.27533,1.28544,30121
03-11-2009,21:00:00,1.28544,1.29597,1.27693,1.27821,30642
03-12-2009,21:00:00,1.27821,1.28444,1.26272,1.27291,32524
03-15-2009,21:00:00,1.27291,1.27994,1.26369,1.27211,24050
03-16-2009,21:00:00,1.27211,1.27676,1.26734,1.27035,23645
03-17-2009,21:00:00,1.27035,1.27544,1.24335,1.24711,29629
03-18-2009,21:00:00,1.24711,1.25061,1.21925,1.23986,40567
03-19-2009,21:00:00,1.23986,1.24493,1.22934,1.23965,31969
03-22-2009,21:00:00,1.23965,1.24061,1.22048,1.22218,30127
03-23-2009,21:00:00,1.22218,1.23251,1.22034,1.23241,32113
03-24-2009,21:00:00,1.23241,1.23576,1.222,1.23221,36286
03-25-2009,21:00:00,1.23221,1.23373,1.22409,1.23084,30159
