Datetime,Open,Low,High,Close,Volume,Adj Close
2019-05-01 09:30:00-04:00,27.28,27.28,27.43,27.43,0.0,27.43
2019-05-01 09:33:00-04:00,27.41,27.31,27.44,27.32,6388.0,27.32
2019-05-01 09:34:00-04:00,27.39,27.39,27.48,27.48,7656.0,27.48
2019-05-01 09:35:00-04:00,27.45,27.31,27.48,27.33,8608.0,27.33
2019-05-01 09:36:00-04:00,27.35,27.35,27.5,27.45,7856.0,27.45
2019-05-01 09:38:00-04:00,27.38,27.3,27.39,27.31,3519.0,27.31
2019-05-01 09:39:00-04:00,27.34,27.32,27.37,27.32,4654.0,27.32
2019-05-01 09:40:00-04:00,27.3,27.23,27.32,27.3,8793.0,27.3
2019-05-01 09:41:00-04:00,27.29,27.27,27.34,27.33,3366.0,27.33
2019-05-01 09:42:00-04:00,27.35,27.28,27.39,27.37,7694.0,27.37
2019-05-01 09:47:00-04:00,27.51,27.43,27.51,27.47,7211.0,27.47
2019-05-01 09:51:00-04:00,27.31,27.28,27.34,27.29,2569.0,27.29
2019-05-01 09:55:00-04:00,27.18,27.11,27.18,27.11,3916.0,27.11
2019-05-01 09:56:00-04:00,27.12,27.09,27.14,27.09,9046.0,27.09
2019-05-01 09:57:00-04:00,27.1,27.09,27.13,27.13,6609.0,27.13
2019-05-01 09:58:00-04:00,27.15,27.15,27.18,27.17,3355.0,27.17
2019-05-01 09:59:00-04:00,27.16,27.13,27.17,27.15,1180.0,27.15
2019-05-01 10:00:00-04:00,27.13,27.06,27.13,27.06,6477.0,27.06
2019-05-01 10:12:00-04:00,26.94,26.94,26.96,26.96,8152.0,26.96
2019-05-01 10:18:00-04:00,27.05,27.05,27.05,27.05,14417.0,27.05
2019-05-01 10:20:00-04:00,27.15,27.1,27.15,27.1,17503.0,27.1
2019-05-01 10:21:00-04:00,27.1,27.1,27.19,27.15,8051.0,27.15
2019-05-01 10:23:00-04:00,27.14,27.1,27.14,27.1,8633.0,27.1
2019-05-01 10:24:00-04:00,27.11,27.1,27.13,27.1,13038.0,27.1
2019-05-01 10:27:00-04:00,27.1,27.07,27.12,27.08,25478.0,27.08
2019-05-01 10:31:00-04:00,26.79,26.79,26.94,26.91,38697.0,26.91
2019-05-01 10:32:00-04:00,26.92,26.86,26.93,26.91,25503.0,26.91
2019-05-01 10:33:00-04:00,26.9,26.87,26.94,26.89,9968.0,26.89
2019-05-01 10:38:00-04:00,27.03,26.99,27.04,27.01,12336.0,27.01
2019-05-01 10:39:00-04:00,27.02,27.01,27.04,27.02,3623.0,27.02
2019-05-01 10:41:00-04:00,26.96,26.89,26.96,26.91,19806.0,26.91
2019-05-01 10:42:00-04:00,26.89,26.89,26.98,26.95,14499.0,26.95
2019-05-01 10:43:00-04:00,26.95,26.94,26.97,26.95,7233.0,26.95
2019-05-01 10:44:00-04:00,26.92,26.92,27.01,27.0,27040.0,27.0
2019-05-01 10:45:00-04:00,27.0,27.0,27.01,27.0,5182.0,27.0
2019-05-01 10:46:00-04:00,26.98,26.88,26.98,26.88,7096.0,26.88
2019-05-01 10:47:00-04:00,26.89,26.87,26.92,26.89,7484.0,26.89
2019-05-01 10:48:00-04:00,26.88,26.82,26.88,26.83,17355.0,26.83
2019-05-01 10:49:00-04:00,26.83,26.77,26.83,26.79,18654.0,26.79
2019-05-01 10:51:00-04:00,26.72,26.71,26.73,26.73,7815.0,26.73
2019-05-01 10:52:00-04:00,26.74,26.73,26.76,26.75,5421.0,26.75
2019-05-01 10:54:00-04:00,26.65,26.65,26.69,26.67,5723.0,26.67
2019-05-01 10:55:00-04:00,26.66,26.57,26.66,26.57,12918.0,26.57
2019-05-01 10:56:00-04:00,26.53,26.46,26.54,26.54,30416.0,26.54
2019-05-01 10:58:00-04:00,26.54,26.49,26.54,26.49,20639.0,26.49
2019-05-01 10:59:00-04:00,26.48,26.45,26.52,26.49,14557.0,26.49
2019-05-01 11:01:00-04:00,26.54,26.51,26.55,26.52,10507.0,26.52
2019-05-01 11:02:00-04:00,26.51,26.5,26.55,26.53,14045.0,26.53
2019-05-01 11:03:00-04:00,26.52,26.46,26.55,26.55,26899.0,26.55
2019-05-01 11:04:00-04:00,26.57,26.54,26.63,26.62,12914.0,26.62
2019-05-01 11:06:00-04:00,26.67,26.64,26.71,26.65,31078.0,26.65
2019-05-01 11:07:00-04:00,26.64,26.63,26.69,26.69,31809.0,26.69
2019-05-01 11:09:00-04:00,26.61,26.6,26.67,26.67,24390.0,26.67
2019-05-01 11:10:00-04:00,26.68,26.64,26.72,26.72,61314.0,26.72
2019-05-01 11:11:00-04:00,26.72,26.61,26.72,26.62,24383.0,26.62
2019-05-01 11:13:00-04:00,26.63,26.57,26.63,26.59,4784.0,26.59
2019-05-01 11:15:00-04:00,26.65,26.6,26.66,26.66,5530.0,26.66
2019-05-01 11:16:00-04:00,26.67,26.61,26.67,26.61,2867.0,26.61
2019-05-01 11:19:00-04:00,26.63,26.59,26.63,26.59,2015.0,26.59
2019-05-01 11:21:00-04:00,26.59,26.53,26.61,26.53,3274.0,26.53
2019-05-01 11:23:00-04:00,26.58,26.57,26.6,26.59,3028.0,26.59
2019-05-01 11:25:00-04:00,26.59,26.59,26.73,26.71,7225.0,26.71
2019-05-01 11:26:00-04:00,26.71,26.68,26.75,26.69,5741.0,26.69
2019-05-01 11:28:00-04:00,26.69,26.63,26.7,26.63,9350.0,26.63
2019-05-01 11:29:00-04:00,26.63,26.63,26.71,26.66,15007.0,26.66
2019-05-01 11:30:00-04:00,26.67,26.65,26.72,26.7,13368.0,26.7
2019-05-01 11:31:00-04:00,26.69,26.68,26.77,26.76,11356.0,26.76
2019-05-01 11:32:00-04:00,26.77,26.75,26.79,26.76,5682.0,26.76
2019-05-01 11:36:00-04:00,26.83,26.81,26.85,26.85,4634.0,26.85
2019-05-01 11:38:00-04:00,26.9,26.89,26.94,26.89,5857.0,26.89
2019-05-01 11:39:00-04:00,26.88,26.83,26.88,26.84,2077.0,26.84
2019-05-01 11:40:00-04:00,26.84,26.84,26.89,26.86,2686.0,26.86
2019-05-01 11:42:00-04:00,26.94,26.93,26.94,26.94,1485.0,26.94
2019-05-01 11:43:00-04:00,26.95,26.93,26.96,26.95,7566.0,26.95
2019-05-01 11:45:00-04:00,27.0,26.98,27.02,26.98,6398.0,26.98
2019-05-01 11:47:00-04:00,26.99,26.96,27.0,26.98,2603.0,26.98
2019-05-01 11:48:00-04:00,26.96,26.91,26.97,26.97,3554.0,26.97
2019-05-01 11:51:00-04:00,26.98,26.92,26.98,26.94,1316.0,26.94
2019-05-01 11:52:00-04:00,26.96,26.92,27.0,26.99,21859.0,26.99
2019-05-01 11:53:00-04:00,27.0,26.97,27.01,26.98,19110.0,26.98
2019-05-01 11:55:00-04:00,27.01,26.98,27.01,27.0,4083.0,27.0
2019-05-01 11:56:00-04:00,27.01,27.01,27.03,27.01,4382.0,27.01
2019-05-01 11:57:00-04:00,27.0,26.91,27.0,26.92,5440.0,26.92
2019-05-01 11:58:00-04:00,26.91,26.9,26.91,26.91,2225.0,26.91
2019-05-01 11:59:00-04:00,26.92,26.89,26.93,26.89,7040.0,26.89
2019-05-01 12:00:00-04:00,26.89,26.83,26.89,26.83,5842.0,26.83
2019-05-01 12:04:00-04:00,26.79,26.78,26.82,26.81,1610.0,26.81
2019-05-01 12:07:00-04:00,26.77,26.73,26.77,26.75,5279.0,26.75
2019-05-01 12:08:00-04:00,26.75,26.75,26.77,26.76,1345.0,26.76
2019-05-01 12:10:00-04:00,26.76,26.73,26.77,26.74,5579.0,26.74
2019-05-01 12:12:00-04:00,26.81,26.78,26.83,26.81,3711.0,26.81
2019-05-01 12:15:00-04:00,26.81,26.8,26.83,26.8,2448.0,26.8
2019-05-01 12:16:00-04:00,26.81,26.78,26.81,26.79,1367.0,26.79
2019-05-01 12:18:00-04:00,26.81,26.78,26.81,26.78,1604.0,26.78
2019-05-01 12:19:00-04:00,26.77,26.77,26.81,26.78,5605.0,26.78
2019-05-01 12:24:00-04:00,26.77,26.77,26.81,26.8,3579.0,26.8
2019-05-01 12:26:00-04:00,26.76,26.76,26.78,26.78,2618.0,26.78
2019-05-01 12:30:00-04:00,26.7,26.66,26.7,26.66,4532.0,26.66
2019-05-01 12:31:00-04:00,26.65,26.62,26.65,26.64,5166.0,26.64
2019-05-01 12:32:00-04:00,26.63,26.58,26.63,26.58,3455.0,26.58
2019-05-01 12:33:00-04:00,26.58,26.56,26.6,26.59,11257.0,26.59
2019-05-01 12:34:00-04:00,26.59,26.58,26.62,26.61,4925.0,26.61
2019-05-01 12:35:00-04:00,26.61,26.6,26.62,26.62,7647.0,26.62
2019-05-01 12:38:00-04:00,26.57,26.54,26.57,26.54,6779.0,26.54
2019-05-01 12:39:00-04:00,26.54,26.54,26.58,26.54,3205.0,26.54
2019-05-01 12:41:00-04:00,26.54,26.5,26.54,26.53,7431.0,26.53
